nombres;rut;curso
Cristiano Ronaldo dos Santos Averio;25.695.049-9;IV A
Lionel Andres Messi Cuccittini;20.592.309-8;IV B
Manuel Jose Blanco y Calvo de Encalada;27.943.108-1;IV C
Humberto Andres Suazo Pontivo;28.950.152-5;IV D
William Blazkowicz;29.747.876-1;IV D
John MacTavish;25.712.574-2;IV C
Gordon Freeman;26.639.722-4;IV A
Emiliano Javier Amor;28.329.396-3;IV B
Maximiliano Joel Falcon Picart;28.109.233-2;IV A
Gabriel Alonso Suazo Urbina;24.478.174-8;IV A
Gustavo Domingo Quinteros Desabato;26.306.427-5;IV D
David Alfonso Arellano Moraga;22.232.526-9;IV B
Agustin Rossi;25.672.441-3;IV B
Gonzalo Gerardo Higuain;22.049.721-6;IV C
Andres de Jesus Maria y Jose Bello Lopez;29.598.058-3;IV D
Richard Zven Kruspe;28.541.717-1;IV B
Ronaldo Luis Nazario de Lima;28.121.799-2;IV A
Serj Tankian;22.912.859-0;IV D
Juan Carlos Bodoque;26.896.481-9;IV C
Zancudo Draculon;28.146.546-5;IV C
